metier_original,occurrences,mots_malgache,mots_francais
MPAMBOLY COTON,2,"mboly, mpam",
MPANAO GARGOTE,2,mpan,
MANAMBOTRA SY MIVAROTRA SARIBAO,2,"man, miv, var",
MPIVAROTR LAMBA FRIPE,2,"mpi, var, lamba",
Mpitrandraka ala,2,mpi,
MPIKARAMA MIAVA MANGAHAZO,2,"mpi, man, karama",
MPAMPIANATRA ECOLE PRIMAIRE PRIVEE,2,"mpi, mpam",
MANAO COIFFURE,2,man,
GESTIONNAIRE DE COMPTE,2,,
CHEF DE TABLE,2,,chef
PROFESSEUR DE PHILO,2,,
MPAMPIANATRA AMIN'NY COLLEGE LUTHERIEN,2,"mpi, mpam",
SECRETAIRE DE LA DIRECTIOEN GENERAL DE LA SANTE PU,2,,secretaire
MAKA FEUILLE SISAL,2,,
MAMBOLY VARY SY KATSAKA ARY LEGUMES,2,"mam, var, vary, katsaka, mboly",
MAKA BOZAKA,2,,
MPIVARO-TENA (PD),2,"mpi, var",
MPAMIANATRA CEG,2,mpam,
MIVAROTRA CREVETTE,2,"miv, var",
MPIASA ANTRANO (LA BONNE),2,"mpi, trano, rano",
MANAO LAVAGE AUTO MOTO,2,man,
"MPAMBOLY VARY,KATSAKA",2,"var, vary, katsaka, mboly, mpam",
SECRETAIRE AO AMIN'NY COMMUNE,2,,secretaire
MANAMBOATRA MOFO SY CAFE ARY COMPOSE,2,"man, mofo",
MANAMBOATRA ANIMASAKA,2,man,
MPAMPIANATRA MATHEMATIQUES SECONDAIRE PRIVEE,2,"mpi, mpam",
NIKARAKARA VOLY JIROFO,2,voly,
MAMAKY KAIASY,2,mam,
PAIKY KAIASY,2,,
AIDE CHAUFFEURE TAXI BE,2,,chauffeur
MIVAROTRA VOANJOBORY,2,"miv, var",
MANAMPY MANJAITRA CONFECTION,2,man,
RESPONSABLE COMMUNICATION AO @ MINISTERE JEUNESSE,2,,responsable
MANAMBOATRA SY MIVAROTRA MOFO MENAKELY,2,"man, miv, var, mofo",
MPANAMPY FIANAKAVIANA MANAMBOATRA MOFO MENAKELY,2,"man, mofo, mpan",
POLISIMPIRENENA,2,mpi,
MEDECIN LIBRE,2,,
MIKARAMANA MANJONO TRONDRO @ OLONA,2,"man, karama",
MIVAROTRA MOFO/ JUS NATUREL,2,"miv, var, mofo",
MPIVAROTRA TRONDRO DRANOMASINA,2,"mpi, var, rano",
MANAPY MIVAROTRA,2,"man, miv, var",
MIVAROTRA LASARY CITRON AMIN'NY TAVOAHANGY,2,"miv, var",
SECURITE MIARO VOLA ENTINA @ FOURGON (BRINKS),2,,
MIVAROTRA VONIO,2,"miv, var",
MIVAROTRA TAVOHANGY PLASTIQUE,2,"miv, var",
MIVAROTRA KILAOTY KELY ANKIZY ANKANJO KOJAKOJA MAD,2,"miv, var",
MAMBOLY VARY;MANGAHAZO,2,"mam, man, var, vary, mboly",
MPANAO SY MPIVAROTRA CAFE SY MOFO GASY,2,"mpi, var, mofo, mpan",
MIVAROTRA VOAMAINA ANTSINJARANY AMBONY LATABATRA,2,"miv, var",
MIVAROTRA VOAMAINA ANTSINJARANY,2,"miv, var",
MIVAROTRA VOA MAINA ANTSINJARANY,2,"miv, var",
MPANAO SY MPIVAROTRA JUS NATUREL AO AN-TRANONY,2,"mpi, var, trano, rano, mpan",
MIVAROTRA GATEAU MANDEHANDEHA,2,"man, miv, var",
MPAMPIANATRA AMIN'NY UNIVERSITE,2,"mpi, mpam",
MPANAMBOATRA MOFO PATISSERIE,2,"mofo, mpan",
MIKIRAKIRA LA VANILLE,2,,
MAMBOLY VARY SY PARAKY,2,"mam, var, vary, mboly",
DESSOUCHAGE,2,,
MANONDRAKA PARAKY,2,man,
MINDRY ONDRY,2,,
MANERA CAMION,2,man,
MPIANDRY WC PUBLICS,2,mpi,
MPAMPIANATRA FORMATEUR AMN PRIMAIRE,2,"mpi, mpam",
MIVAROTRA BOMBON SY GARBATIE,2,"miv, var",
MIVAROTRA LASARY,2,"miv, var",
RECEVEUR TAKXI BROUSSE,2,,
MPIASATRANO,2,"mpi, trano, rano",
MAMBOLY VARY MANGAHAZO SY KABARO,2,"mam, man, var, vary, mboly",
MAMBOLY VARY MANGAHAZO KABARO,2,"mam, man, var, vary, mboly",
MIVAROTRA TSAKO,2,"miv, var",
KIBAROA FAMBOLENA,2,famb,
MIASA MANONDRAKA ZANAKAZO AO SOCTAM,2,man,
MPIVAROTRA PATE,2,"mpi, var",
MIVAROTRA SAKAFO AZO AVY AMINY FAMBOLENA,2,"miv, var, famb",
"MAMBOLY LAVANILA,JIROFO,COLA",2,"mam, mboly",
"MAMBOLY LAVANILA,JIROFO",2,"mam, mboly",
"MAMBOLY vary,MANGAHAZO",2,"mam, man, var, vary, mboly",
MPIVAROTRA ANANA ISANKARAZANY,2,"mpi, var",
MPANAMPY @ FIOMPIANA OMBY,2,"mpi, omby, mpan",
MPIAMBINA HOPITAL-MPANJAKANA,2,"mpi, mpan",
MANAMBOATRA CACAPIGEON,2,man,
MPAMINTAGNA LOKO,2,mpam,
MPANAO GRAVION,2,mpan,
OUVRIER DE LA MACON,2,,ouvrier
INFIRMIERE RETRAITER,2,,
SAGE FEMME RETRAITER,2,,
MANAMPY AMIN NY FAMBOLENA VARY SY KATSAKA,2,"man, var, famb, vary, katsaka",
MANAMPY @ FAMBOLENA VARY,2,"man, var, famb, vary",
MAMATSIKA BOIS ROND,2,mam,
"MPAMBOLY VARY,KATSAKA, MANGAHAZO",2,"man, var, vary, katsaka, mboly, mpam",
MIKARAKARA ZANATSOAVALY,2,,
MPAMPIDINA SY MPAMPAKATRA BIRIKY AMIN'NY CAMION,2,"mpi, mpam",
MANAO HAZO,2,man,
ENTRENEUR MACHINE,2,,
MPIAVA TANY FAMBOLENA,2,"mpi, famb, tany",
MPIKARMA MIAVA,2,mpi,
COLLECTEUR DES EPICES,2,,
MAMBOLY VARY SY TONGOLO,2,"mam, var, vary, mboly",
"MIKARAKARA TRONDRO, mapiditra agnaty sachet",2,,
MIVAROTRA VILIA-KOVETA,2,"miv, var",
MPANERA @ COPERATIVA,2,mpan,
VENDEURNA SINOA,2,,vendeur
MAINOEUVRE,2,,
MPANAMBOATRA MOTO SY AUTOMOBILE,2,mpan,
MIVAROTRA ACCESSOIRE NA TELEPHONE,2,"miv, var",
COMPTABLE AMIN'NY TRAVEAU PUBLIQUE,2,,comptable
MIKARAKARA VOKATRA FAMBOLENA,2,famb,
MIOMPY OMBY SY AKOHO,2,"omby, akoho",
MITONDRA CYCLO-POUSSE,2,,
DOKERA MPITATITRA ENTANA MAMONJY TSENA,2,"mpi, mam, entana",
MIVAROTRA TELEFONA,2,"miv, var",
COATCH AO MINISTERE EDUCATION,2,,
TRANSITAIRE AO AM ENTREPRISE DHLµ,2,,
MITAZONA KIOSK,2,,
MIVAROTRA AMINA BOUTIQUE FRIPERIE,2,"miv, var",
MAMBOTRA BOATY NDRAKITRA VITA AMINY TANIDITRA,2,mam,
MIASA AN-tranon'olona,2,"trano, rano",
MPAJONO TRONDRO ANDRANOMASINA,2,rano,
VAKY TANY MIKARAMA ISAN'andro,2,"tany, karama",
SARAKATSAHA VARY,2,"var, vary",
MAPINATRA AMINY ECOLE PRIMAIRE,2,,
PANERA @ TAXI BROUSSE,2,,
DIRECTEUR ADJOINT TECHNIQUE,2,,directeur
MPANAMBOATRA TRANO HAZO,2,"trano, rano, mpan",
FIKARAKARANA TRANON OLONA,2,"trano, rano",
MIKARAMA MAMONO KISOA,2,"mam, karama",
AGENT LOGISTIQUE,2,,agent
FITANTERANA @ BAJAJ,2,,
MANPIANATRA @ EPP,2,man,
MPIVAR0TRA 0MBY,2,"mpi, var",
MAMVBOLY VOANJO,2,mam,
MIVAROTRA LEGUME AMORONDALANA,2,"miv, var",
MIKARAMA MANAO VILANY,2,"man, karama",
MANAO PETAKOFEHY,2,man,
MITAOANA FASIKA(aide chauffeur),2,,chauffeur
ESTHETICIENNE,2,,
TECHNICIEN VOITURE,2,,technicien
MAMBOLY VARY/KATSAKA/TSARAMASO/VOANJO,2,"mam, var, vary, katsaka, mboly",
MIVAROTRA KATSAKA MASAKA,2,"miv, var, katsaka",
FEMMES DE MENAGE,2,,
MANAPAKA VILONA,2,man,
"MAMBOLY VOANJO,VARY",2,"mam, var, vary, mboly",
TACHERON POUR LA CONSTRUCTION DU BATEMENT,2,,
MPITRNDRAKA VOLAMENA,2,mpi,
MIVAROTRA TRONDRO MILIVRE AMINY CLIENT,2,"miv, var",
MIVAROTRA CHARBON GONY,2,"miv, var",
AGENT DE POLICE NATIONALE,2,,agent
INFIRMER  DANS LE PROJET MEDECIN SANS FRANTIERE,2,,
MPIVAROTRA ENTA MADINIKA AMIN'NY EPICERIE,2,"mpi, var",
KARAMAINA MANAPAKA HAZO,2,"man, karama",
MANAO REPARATION ELECTRONIQUE,2,man,
MPIVAROTRA MANDEHADEHA AKANJO,2,"mpi, man, var",
MPAMPIANATRA ANGLAIS,2,"mpi, mpam",
SUPPLEANT MPAMPIANATRA SVT,2,"mpi, mpam",
MANAO COMMISION,2,man,
MAMBOLY KATSAKA SY VARY ARY OVY,2,"mam, var, vary, katsaka, mboly",
AIDE INFIRMIERE,2,,
CONSEILLE CLIENT,2,,
MITONDRA TAXI BICYCLETTE,2,,
CHAUFFEUR TAXI BROUSSE NATIONALE,2,,chauffeur
DOCKER MPITOTO VARY,2,"mpi, var, vary",
GERANT FITOTOAM-BARY,2,,
SECURITE JIRAMA,2,,
MPIVAROTRA ENTA MADINIKA EN DETAIL AMIN'NY EPICERI,2,"mpi, var",
KARAMAINA MANAMBOATRA BICYCLETTE,2,"man, karama",
MIVAROTRA KAPOAKA,2,"miv, var",
MAMBOLO TONGOLO,2,mam,
CHAUFFEUR MITATITRA ENTANA,2,entana,chauffeur
MANERA FIATAOVANA AO ANTOKATRANO,2,"man, trano, rano",
MAMPIANATRA AMBARATONGA FAHA II,2,"mpi, mam",
PANAO PHOTOPIE,2,,
MPIVAROTRA HANIMASAKA AMORONDALANA,2,"mpi, var",
MAMPIANATRA COLEGE,2,"mpi, mam",
DEMARECHEUR,2,,
"MPAMBOLY VARY, CONCOMBRE, VOATAVO",2,"var, vary, mboly, mpam",
"MIVAROTRA ANANA,VOATABIA,TONGOLO",2,"miv, var",
MPIASA VOLAMENA,2,mpi,
MANçON,2,man,
MIVAROTRA ESSENCE,2,"miv, var",
TECHNICIEN AGRONOME,2,,technicien
CHEF DE DEPOT TRACTION,2,,chef
TOPOGRAPHE,2,,
MPANAMBOATSY FATAPERA,2,mpan,
MANASA LAMBA AMINA TOKANTRANO MARO,2,"man, lamba, trano, rano",
MANAO SAKAFO MASAKA,2,man,
MANAMPY MIVAROTRA HANIMASAKA,2,"man, miv, var",
MPANDIDY SY MPANAPAKA LAMBA,2,"lamba, mpan",
MIVIDY VARY AKOTRY DIA AMIDY FOTSIMBARY,2,"miv, var, vary",
FIVAROTAMBARY,2,var,
MAKA FOZAORANA,2,,
REPARATION BICYCLETTE,2,,
MIVAROTRAPRODUIT VOLO,2,"miv, var",
MIVAROTRA AMIN NY EPICERE,2,"miv, var",
BAGAGISTE,2,,
MPIVAROTRA TAOKA GASY,2,"mpi, var",
MPITAONA BIRIKY SY RANOM-POTAKA,2,"mpi, rano",
MPANERA TANY,2,"tany, mpan",
OMBIASY,2,,
SERVEUR AM HOTELY,1,,
ENSEIGNANT ECOLE SECONDAIRE,1,,
agent d execution,1,,agent
MPITETY MOFO,1,"mpi, mofo",
MPANAMPY NY MAMANY,1,"mam, man, mpan",
MANAMPY MIVROTRA PPN,1,"man, miv",
PRODUCTEUR EN ASSURANCE,1,,
INSPECTEUR DE TRESOR,1,,
POISSONNERIE,1,,
PERSONNEL DOMESTIQUE,1,,
NAMAFY ANANA,1,,
AGENT D'ACCUEIL,1,,agent
TSARAKATRAHA,1,,
MIOMPY AKOHO SY DOKITRA,1,akoho,
MANENONA LAMBA MENA,1,"man, lamba",
MANAO LAMAKA SY PANIE BE,1,man,
"MAMBOLY VARY,TSAKO,FELIBATATA",1,"mam, var, vary, mboly",
MPANDRAY OLONA AO @MPIVAROTRA TELEPHONE,1,"mpi, var, mpan",
GEREANT D'HOTEL,1,,
MIVAROTRA PATE MASAKA,1,"miv, var",
FIAMBESANA OMBY,1,omby,
MANJONO SY MIVAROTRA TRONDRO,1,"man, miv, var",
MIASA AMINY VULCA,1,,
FANAOVANA SY FIVAROTANA TSAKITSAKY,1,var,
SERGEANT,1,,
MIANTOKA MOFO DIPAINA(MIVAROTRA)MANANA TOERANA FIX,1,"man, miv, var, mofo",
MPIVAROTRA PUCE SY TELEPHONE,1,"mpi, var",
MANAMPY MIVAROTRA LAMBA,1,"man, miv, var, lamba",
DECORATEUR DU BATIMENT,1,,
VAROTRA CAFE,1,var,
FAMBOLENA BALAHAZO SY TSAKO,1,famb,
MANARATO AN DRANOMASINA,1,"man, rano",
MANAMBOATRA SAHAFA,1,man,
MIVAROTRA SARBO,1,"miv, var",
MPAMPIANANTRA AMIN'NY LYCEE,1,"mpi, mpam",
CHEF DE PROJET SIF MOROMBE,1,,chef
MAKA HORITA,1,,
MPANAO ASA AN-TSELIKA,1,mpan,
MPANDRAITRA KIRARO,1,mpan,
LABORANTIN,1,,
MPISA AMINY ZONE,1,mpi,
MPIVAROTRA AMIN.NY SINOA,1,"mpi, var",
MPANDEFA ENTANA ANY AM FARITRA,1,"entana, mpan",
MPIOMPY AKOHO MPANATODY LAVA,1,"mpi, akoho, mpan",
MAMBOATRA MOFO GASY,1,"mam, mofo",
PRESIDENT SECCAM CAISSE 706 SOAVINANDRIANA,1,,
"MIOPY AKOHO,VORONA",1,akoho,
"MIOMPY AKOHO,VORONA",1,akoho,
PATTISSIERRE,1,,
MPANERA AKOHO,1,"akoho, mpan",
MAMABOLY VARY,1,"mam, var, vary",
MPANAMBOATRA TRANO (MAçON),1,"trano, rano, mpan",maçon
MPANAO TSARAK'ANTSAHA,1,mpan,
MIKARAMA MANANGONA VOKATRA,1,"man, karama",
MIVAROTRA ANAMADINIKA,1,"miv, var",
FEMME DE MENAGE AO AMIN'NY HOPITALIN'NY JIRAMA,1,,
MPIVAROTRA PRODUITS COSMETIQUES AMORON-DALANA,1,"mpi, var",
MPANASA LAMBA AMIN'NY TOKANTRANO MARO,1,"lamba, trano, rano, mpan",
MPANASA LAMBA AMIN'NY TOKANTRANO MAROMARO,1,"lamba, trano, rano, mpan",
MPIVAROTRA AO AMIN'NY QUINCAILLERIE,1,"mpi, var",
MPANERA FANANGONAMBARY,1,mpan,
MIVAROTRA MANAO GARGOTTE,1,"man, miv, var",
MIVAROTRA BOMBON COCO,1,"miv, var",
MIVAROTRA KAKAZO,1,"miv, var",
MITSONGO VARY,1,"var, vary",
MANAMBOATRA PARPAING,1,man,
MPITANTANA TOERAPILALAOVANA LOTO,1,mpi,
MANANAO TIRAGE LA VANILLE,1,man,
MPAMPIANATRA T1,1,"mpi, mpam",
REPARATEUR BICYCLETTE,1,,
AFERA NA VATO,1,,
MAMPAIANTRA AMIN'NY EPP,1,mam,
GARDIEN TRANONOLONA,1,"trano, rano",
MIVAROTRA FIPE,1,"miv, var",
MPANDIO SY PAMAFA BAZAR,1,mpan,
MAMBOLY TSARAMASO KATSAKA VOANJOBORY,1,"mam, katsaka, mboly",
MANAO AIDE CHAUFFEUR,1,man,chauffeur
MPANDISA VARY AM MACHINE,1,"var, vary, mpan",
MPAMPIANATRA AMIN'NY PRESCOLAIRE,1,"mpi, mpam",
Mpandrandrana volo,1,mpan,
MPIVAROTRA AKOHO MENDY,1,"mpi, var, akoho",
FAMBOARANA  FIARA,1,famb,
MPIVAROTRA PASTHEQUE,1,"mpi, var",
MPANJAITRA MOUSTIQUAIRE,1,mpan,
SAGE FEMME BENEVOLAT,1,,
MANASA LAMBA TOKATRANO IRAY,1,"man, lamba, trano, rano",
ASSISTANT MANAGER,1,man,assistant
MIVAROTRA SY MANAMBOATRA TELEPHONE SIMBA,1,"man, miv, var",
MIASA @PROJET,1,,
GERANT HOTEL,1,,
MIVAROYTRA AKONDRO MANDENDEHA,1,"man, miv, var",
MIVAROTRA CLARINETTE,1,"miv, var",
MPAMPIANATRA AMIN 'NY LYCEE,1,"mpi, mpam",
MAMBOLY VOTABIA,1,"mam, mboly",
TAXIBE,1,,
MIOMPY DOKOTRA SY AKOHO,1,akoho,
CUISINIERE @RESTAURANT,1,,
MIVAROTRA COCOMBRE,1,"miv, var",
MIVAROTRA FRUIT ET LEGUME,1,"miv, var",
MPANAO SARAKA ATNSAHA,1,mpan,
MPIVAROTRA VARY EN GROS,1,"mpi, var, vary",
MOBILE MONEY,1,,
MIVAROTRA VOMAINA,1,"miv, var",
SARAKANTSAHA (MAGNETSA),1,,
SARAKANTSAHA (MANALA BORDAGE),1,man,
MANAMBOATRA RADIO,1,man,
CHAUFFEUR DE LA STAR,1,,chauffeur
"MANAMPY MAMBOLY VARY,TONGOLO,TSARAMASO",1,"mam, man, var, vary, mboly",
"MPAMBOLY VARY, TONGOLO, TSARAMASO",1,"var, vary, mboly, mpam",
CAPITONEUR VOITURE,1,,
MANAO SACHET,1,man,
MPIVAROTRA BISCUIT,1,"mpi, var",
MANAMBOATRA FATAPERA SY KARAKARA SNS,1,man,
MAMPIANATRA AMIN'NY PRESCOLAIRE,1,"mpi, mam",
ELEVAGE PORCIN,1,,
SECURITY,1,,
MANAMPY MIVAROTRA APPAREIL @ TSY LANY LAMAODY,1,"man, miv, var",
SURVEILLANT GENENRAL,1,,
MPAMPIANATRA NIV 1,1,"mpi, mpam",
DEMARCHEUR PRODUIT LOCAUX LA VANILE,1,,
MAMPIANATRA HISTO-GEO,1,"mpi, mam",
MESUREUR LA VANILE,1,,
MIVAROTRY AKOHO,1,"miv, var, akoho",
MANDRARY TANDROHO NA FANIHIFANA TRONDRO,1,man,
MPITETIKA FARY,1,mpi,
MPIVAROTRA EPICERIE AMORONDALANA,1,"mpi, var",
PENITENCIAIRE,1,,
MPABOLY VARY MADINIKA,1,"var, vary",
MANAMPY MIVAROTRA KAPA,1,"man, miv, var",
AIDE MANOEUVRE,1,man,
MIVAROTRA FANAFODY MANDEHA,1,"man, miv, var",
MANAO TRIAGE LOJY,1,man,
MIKARAMA MANJONO TRONDRO,1,"man, karama",
MPANDARFITRA TRANO,1,"trano, rano, mpan",
MPAMPIANATRA AMBARATONGA VOALOHANY @ PRIVEE,1,"mpi, mpam",
MANAO DOCKERA,1,man,
GARDIEN CACAO,1,,
FEMME DE MENAGE D'UNE AUTRE MENAGE,1,,
MPAMBOLY MADINIKA MANAMPY ANY VADINY,1,"man, mboly, mpam",
MPAMBOLY MADINIKA IZY (OVY),1,"mboly, mpam",
MPANAMBOATRA VILANY,1,mpan,
MANAO CALL CENTER,1,man,
MPANDRAY TARATASY AO COMMUNE,1,mpan,
MESURAGE LA VANILLE,1,,
COMMISSIONNAIRE VANILLE,1,,
MPANAO HOSODOKO,1,mpan,
CHAUFFEUER CAMION,1,,
MANDRARY VITA AMIN'NY HAZONDRANO,1,"man, rano",
MPAMBOLY PAOMA,1,"mboly, mpam",
MIVAROTRA BAFFLE SY RADIO,1,"miv, var",
MANAO OPERATEUR DE SAISIE,1,man,
MANAO SAKAFO(RESTAURANT),1,man,
MPMBOLY VARY,1,"var, vary, mboly",
MANAO SY MIVAROTRA JUS,1,"man, miv, var",
SUPERVISEUR POINT D'APPRO,1,,
MANAO SY MIVAROTRA CAFE,1,"man, miv, var",
CONTROLEUR DE QUALITE DES PRODUIT ARISANAUX,1,,
ASSISTANTTECHNIQUE,1,,assistant
"MPANAMBOTRA RADIO,JIRO,TELEVISION",1,mpan,
MPANDRAFITRA FANAKA VITA @HAZO,1,mpan,
CUISINIER DANS LA SOCIETE AQUALMA BESALAMPY,1,,
MPANARATO PATSA AN-DRANOMASINA,1,"rano, mpan",
MIAMBINA TANINOLONA,1,,
MIKARAMA MITAONA VATO,1,karama,
MPIOMPY,1,mpi,
TECHNICIEN COMMUNICATION AO @ CANAL PLUS,1,,technicien
CONTROLEUR,1,,
MITAZONA CYBER,1,,
MAMPIANATRA ANGLAIS (3eme),1,"mpi, mam",
MPIVAROTANA HANI-MASAKA,1,"mpi, var",
MIHAZA LAOKA,1,,
MIHAZA LAOKA ANDRANOMAMY,1,"mam, rano",
MAcon,1,,
MPAIANATRA AMBARATONGA VOALOHANY AMIN'NY MASERA,1,,
COMPTABLE MIKERAKERA NY RESA-BOLA AO AMIN'NY DREDD,1,,comptable
MACHINISTE MPANAMBATRA AKANJO @ZONE FRANCHE MPANAO,1,mpan,
MIASA TRANON OLONA,1,"trano, rano",
CHEF D'ENTENNE REGIONALE AIRTEL,1,,chef
MIANDRY OMBY AO AMINY DADANAIVONY,1,omby,
MACHINISTE MPANJAITRA AKANO THEESHERT,1,mpan,
MACHINISTE MPANJAITRA THEESHERT,1,mpan,
MIVAROTRA HENAN'AKOHO,1,"miv, var, akoho",
MANAO VARAVARNKELY SY VARAVARANA ALLUMINIUM,1,"man, var",
MPANAO DOKERA,1,mpan,
MIVAROTRA COMPOSE SY VARY,1,"miv, var, vary",
MAçON MANAMBOATRA TRANO,1,"man, trano, rano",maçon
MAMBOLY CACAO CAFE,1,"mam, mboly",
COLLECTEUR SAPHIR,1,,
CHAUFFEUR AMBULANCE,1,,chauffeur
MIVAROTRA PPN ANATY TRANO(EPICERIE),1,"miv, var, trano, rano",
PANAO VILANY,1,,
CHAUFEUR BUS,1,,
MPANAO PARAKY AMIN.NY ORINASA TSARASAOTRA,1,mpan,
FORMATEUR MINISTERA FAHASALAMANA,1,man,
OPERATRICE DE SAISE,1,,
MPIVAROTRA SY MPANAO MOFO,1,"mpi, var, mofo, mpan",
OPERATEUR DANS LABORATOIRE,1,,
MANAMBOATRA TRANO HAZO,1,"man, trano, rano",
ENCADREUR D'ENFANT,1,,cadre
MANAO CHAUFERA CAMION,1,man,
MIVAROTRA PARAKY MITETY TRANO,1,"miv, var, trano, rano",
MITRNDRAKA VOLAMENA,1,,
SECRETAIRE CEG HAUTE VILLE,1,,secretaire
INSTITUTRICE MARGUERITE LE COMPTE,1,,
MANDEFA SARY MIHETSIKA,1,man,
MAMBOLY BARANJELY SY COCOMBRE,1,"mam, mboly",
MAMBOLY BARANJELY COCOMBRE,1,"mam, mboly",
MIVAROTRA KAPA SY POKETRA,1,"miv, var",
MIVAROTRA EPICERI,1,"miv, var",
MPAMBOLY FA MANANMPY NY VADINY,1,"man, mboly, mpam",
MANAO KIBAROA MIBATA ENTANA,1,"man, entana",
MPIVAROTRA ANANA SY LEGIOMA,1,"mpi, var",
MPIVAROTRA LAMBA MANDE2,1,"mpi, man, var, lamba",
MIKARAMA MAKA RANO,1,"rano, karama",
FIVAROTANA VARY,1,"var, vary",
MPIKARAMA MANTSAKA RANO,1,"mpi, man, rano, karama",
MANAMBOATRA JUS DE FRUIT,1,man,
MIVAROTRA AMINY EPICERIE,1,"miv, var",
MIVAROTRA KILALAO MANDEHANDEHA,1,"man, miv, var",
MPANAO CROCHET VITA AMIN'NY ROFIA,1,mpan,
MPANOTRIKA AKONDRO,1,mpan,
COIFFURE ET ESTHETIQUE,1,,
MIVAROTRA MOFO MAKASAOKA SY RONONO SOJA,1,"miv, var, mofo",
MPIVAROTRA MOFO SY RONONO SOJA,1,"mpi, var, mofo",
MPIVAROTRA VARY FOTSY A L'ETALAGE,1,"mpi, var, vary",
MPIKARAKARA BIBY FIOMPY (kisoa),1,mpi,
MPANAPY MIVATOTRA,1,"miv, mpan",
MPIVAROTRA AMIN'NY MAGASIN KARANA,1,"mpi, var",
MPAMPIANATRA EDUCATION A LA VIE ET A L'AMOUR,1,"mpi, mpam",
MPIVAROTRA VOA-MAINA SY LEGUMES ANTSINJARANY,1,"mpi, var",
MIVAROTRA MASIKITA SY TONO AKOHO,1,"miv, var, akoho",
MIVAROTRA MASIKITA SY TSAKY AKOHO,1,"miv, var, akoho",
MPIVAROTRA AO AMIN'I AIGLE D'OR MAHAJANGA,1,"mpi, var",
MPIVAROTRA FILAO MANDEHANDEHA,1,"mpi, man, var",
AGENT DE CREDIT AO AM AGENCE VAHATRA,1,,agent
MPANAJAITRA AM ZONE FRANCHE,1,mpan,
MIVAROTRA PATSA MENA,1,"miv, var",
MIPASOKA LAMBA ZONE FRANCHE,1,lamba,
MIVAROTRA MANGAHAZO SY VOATSINEFY POAKATSAKA,1,"man, miv, var, katsaka",
MIVAROTRA ETANA ILAINA ANDAVANANDRO (EPECERIE),1,"miv, var",
MANASA LAMBA OLONA,1,"man, lamba",
RESPONSABLE MAGAZINIER,1,,responsable
MPAMPIANATRA AO AMINY EPP,1,"mpi, mpam",
INSPECTEUR DE POLICE JUDICIAIRE,1,,
AIDE COMMERCANTE,1,,
COMMERCANTE,1,,
GERANTE PROPRIETAIRE,1,,
MPAMPIANATRA PRIVEMPAMPIANATRA EPP,1,"mpi, mpam",
MIOPMY AKOHO,1,akoho,
MAMBOLY ALA HONKO,1,"mam, mboly",
MPAJONO AN-DRANOMASINA,1,rano,
MPIVAROTRA ANANA ANTSINJARANY,1,"mpi, var",
MPAMPBOLY VARY SY HARICOT VERT,1,"var, vary, mpam",
MAMPIANATRA CLASSE DE PRESCOLAIRE,1,"mpi, mam",
VAROTRA TRONDRO MAINA,1,var,
TALEN TSEKOLY,1,,
MIVAROTRA VOANKAZ0 SY VOMANGA,1,"man, miv, var",
MPAHANDRO SAKAFON'NY MPITRANDRAKA VOLAMENA,1,mpi,
MPANARATO AN-DRANOMASINA (MPIKARAMA),1,"mpi, rano, karama, mpan",
MANBOLY OVY SY ANANDRANO,1,"man, rano",
MITANTANA BAR,1,,
JOUNIER SARAKATSAHA,1,,
MPITRANDRAHANA VOLAMENA,1,mpi,
MPANERA @AUTOMOBILE,1,mpan,
ANIMATION COMMERCIAL,1,,
RESPONSABLE ADMINISTRATION,1,,responsable
MPANAO KIRARO,1,mpan,
MPANAO PETISY,1,mpan,
MPANAO MOKARY,1,mpan,
MPANAPAKA SY MIVAROTRA HAZO,1,"miv, var, mpan",
MPIVAROTRA ENTANA MADINIKA,1,"mpi, var, entana",
MIVAROTRA SIRAMAMY,1,"mam, miv, var",
MPAMPIANATRA FRAM EPP,1,"mpi, mpam",
LOHOLONA ARA PINOANA,1,,
MIVAROTRA FRIPERIE MITETY TRANO,1,"miv, var, trano, rano",
MIVAROTRA OR DE FRANCE,1,"miv, var",
MIVAROTRA ETAMADINIKA AMORONDALANA,1,"miv, var",
MIVAROTRA NEM SY BROCHETTE AMORONDALANA,1,"miv, var",
MIVAROTRA TORCHE PARFUM MIROIRE PEINE CADENAS SNS,1,"miv, var",
GUICHETTIER,1,,
CHAUFFEUR TAXI BROUSSE TANA FARANGANA,1,,chauffeur
MIAVA TANY MANGAHAZO,1,"man, tany",
MAMBOLY VOATABIA ANANA TONGOLO,1,"mam, mboly",
"MAMBOLY VOATABIA,TONGOLO,ANANA",1,"mam, mboly",
"MAMBOLY PETIT POIS ,TONGOLO,ANGIVY",1,"mam, mboly",
MANAMBOATRA SY MIVAROTRA PANIER EN NATE,1,"man, miv, var",
MITONDRA KALESA,1,,
MANDRARY TSIHY DIA AV EO AMIDY,1,man,
MPAMBOLENA VOANJO,1,mpam,
MIVAROTRA TONON'AKOHO,1,"miv, var, akoho",
MIADY VOLAMENA,1,,
SECRETAIRE GENERAL COMMUNE,1,,secretaire
MANAMBOATRA FIARA,1,man,
MAMOHA PAOMPY,1,mam,
RELEVEUR,1,,
MPIVAROTRA PUCE TELEPHONIQUE,1,"mpi, var",
MANOEUVRE DE BÂTIMENTS,1,man,
CHAUFEUR BADJAJ,1,,
GERANT RESTAURANT,1,,
MANAO SARAKA ANTSAHAµ,1,man,
